juno1hxkppd7spnvm5s86z2rfze5pndg9wwee8g9x6v

2022-04-05T11:00:49Z | #2578097 | FB087E4D4379E67BCC4EB6A9C98820C67EDFB6B0AA04A98B33EBFA0072316DE1 | 126062/169773 | 0.004245 JUNO | Chorus One
2022-04-05T10:59:59Z | #2578089 | 9F6ACF43CF47B30DACFEB565DF12E813E39D33CA6DA24EF6F499C9234F0C6A32 | 122533/164427 | 0.000412 JUNO | Stakecito
2022-04-05T10:57:59Z | #2578070 | F434C754991338A0D2154997CF194AA534286723ECC4F51370801AA6295D5864 | 122512/164346 | 0.000411 JUNO | 0base.vc
2022-04-05T10:56:01Z | #2578051 | 8B79464BD8CAB5ABB822631E763D3B7B603CAA5FA5BF5517C76538FAEA555ECF | 122479/164346 | 0.000411 JUNO | Cosmostation
2022-04-05T10:54:59Z | #2578041 | 2488A8C2A3B13AD74F916588D196A0A1467F2B43E2658316C27BD3EE845564DD | 122533/164427 | 0.000412 JUNO | SG-1
2022-04-05T10:54:03Z | #2578032 | 6B7A934D5D90ABBDDB2864AFE06C0BC613920614C09DFDCA26C53C0797A7D7A2 | 122410/164346 | 0.000411 JUNO | Stakecito
2022-04-05T10:51:56Z | #2578012 | 8DD5A112C25D5473F12F0F3094C21324BE4A5956C73549771DA4DA2E07B0455D | 122479/164346 | 0.000411 JUNO | Disperze
2022-04-05T10:49:59Z | #2577994 | 6323DAD034D97C99F60094D25FEA0AD40B6D20F9FDFFDE88E45864679D855D63 | 122533/164427 | 0.000412 JUNO | Sentinel dVPN
2022-04-05T10:48:06Z | #2577976 | E64950DD688DE737E2692145E5770A3750671AB26E06EAD325273C5B3420D782 | 122446/164346 | 0.000411 JUNO | Stakecito
2022-04-05T10:46:13Z | #2577958 | DBC96DD362BFBB9FFBF1AED958C2A1A5E5AF72F47A8F6BCDE7891A50326EF838 | 122410/164346 | 0.000411 JUNO | blockscape
2022-04-05T10:45:07Z | #2577948 | 3CFB1256865EDDCA592FA2178F10C03EA8E24B2D354C7A59EF32E8303BB7BFA0 | 122464/164427 | 0.000412 JUNO | SG-1
2022-04-05T10:43:58Z | #2577937 | 463DFFD61A3CE0D27558E0079242872408FE01FE10F0B4C8C212D2A97633A19F | 122410/164346 | 0.000411 JUNO | SG-1
2022-04-05T10:42:00Z | #2577918 | 4804D19414AC3A8A04A4B669521DA0EB3F0BDF0F64B49F68E85A7BBE777FB148 | 122479/164346 | 0.000411 JUNO | kingnodes
2022-04-05T10:39:57Z | #2577898 | 164BF9DA32A895CCCB6F4326F7E833BD3C8BDBA9829D1126B7FCC40DCAB1E187 | 122566/164427 | 0.000412 JUNO | WhisperNode🤐
2022-04-05T10:37:58Z | #2577879 | 3444A34CAA9952029B4A1F41FD47D97ABA3448BA739EFA20F54953E5A4779465 | 122512/164346 | 0.000411 JUNO | SG-1
2022-04-05T10:36:01Z | #2577861 | 84D6A0D1C3AE3DE3AA590ABD00A8B20D7BE79BC10830A37F7608B89B275BE2B1 | 122410/164346 | 0.000411 JUNO | CryptoCrew Validators ✅
2022-04-05T10:34:59Z | #2577851 | 2B9AD1217336C478E8592A43109263302F39E831F71B10EFEF659DC7C1A07FB4 | 122464/164427 | 0.000412 JUNO | ☉ Mercury
2022-04-05T10:34:02Z | #2577842 | 6613948305F72FD60F11E6C768039A00ECE6FD60869739B6CD0D1736D67D79C0 | 122479/164346 | 0.000411 JUNO | notional
2022-04-05T10:31:58Z | #2577822 | 1C2F820EFDEF679B490C0E70A1C7846FC7A30DD400FCE6ED712147376B03EB61 | 122479/164346 | 0.000411 JUNO | dimi 🦙
2022-04-05T10:29:56Z | #2577804 | ABDE8F6A16FBC2AAA558DC42AAB4E3AACACF0780CBD90AB3624B54F80AE6C1BE | 122512/164346 | 0.000411 JUNO | ChainLayer
2022-04-05T10:27:58Z | #2577785 | 42A32531AB13CC81C92CD2388B237898FD0912CD8AABFCD9052295CA851B22D4 | 122512/164346 | 0.000411 JUNO | EZStaking.io 100% Slash Protected
2022-04-05T10:26:00Z | #2577766 | 45462C487296D2FF0983C038A5F3C8631BD05014B67E6F6678EF92579E476052 | 122446/164346 | 0.000411 JUNO | UniverseDAO
2022-04-05T10:25:04Z | #2577757 | 0A8856DC003C6C886FA8BE4C583F3371492A9BDBAC0A6813C3BCCBF1A6AF0754 | 122566/164427 | 0.000412 JUNO | Kleomedes
2022-04-05T10:24:01Z | #2577747 | 251B7E1CC8C9B048E89699D9E30FFDC70C3DBE17F7EA6678520373DF409E1FED | 122479/164346 | 0.000411 JUNO | Sentinel dVPN
2022-04-05T10:21:58Z | #2577727 | 01CA94BF4938A2539CFEE8D6DBA324BB66D34A8E7F81711CBAFC64307E0FC78D | 122512/164346 | 0.000411 JUNO | Mr.K
2022-04-05T10:19:57Z | #2577708 | 8D442D579B6B93ED89C98E71383C20030B09095662A294E13ED4DCF3ADCFA082 | 122512/164346 | 0.000411 JUNO | Cephalopod Equipment Corp
2022-04-05T10:17:58Z | #2577689 | 4563826BA81EA2EB8A0C38B4C6B83D2405AD53E9BAA23509209FE78E12B735D6 | 122479/164346 | 0.000411 JUNO | NosNode🔆
2022-04-05T10:16:00Z | #2577670 | 62ACB8358A1AE529B74B71575E7381F64EA97DD12BABCC44A985DC5DFB61FE78 | 122479/164346 | 0.000411 JUNO | kingnodes
2022-04-05T10:15:03Z | #2577661 | 6F66B1AA7D1240BA0EB80AFFFBB71CD2F63C03AAA96E0B79DFAEB9135BF24015 | 122533/164427 | 0.000412 JUNO | Cosmostation
2022-04-05T10:14:01Z | #2577651 | 960D7D1270749ABB793755D041DAE4C2EFFC053C9142B18D83BCE56344BBFB4B | 122410/164346 | 0.000411 JUNO | jabbey
2022-04-05T10:11:57Z | #2577631 | 5F56BCABF81CBA2E472E7BBD0F6DDCB4D3501D72A6754F5FE9EE58CABB86D51F | 122512/164346 | 0.000411 JUNO | OmniFlix Network
2022-04-05T10:09:58Z | #2577612 | 8AA11E94EE2F2D676F6A6FF5CE516CAE5902265C591C679BDC8A350FB90E198C | 122533/164427 | 0.000412 JUNO | Cosmostation
2022-04-05T10:08:00Z | #2577593 | 0F35AE3A90849D104796C0ED32087DD50992A09B36D6217DAE7FBEF277106F32 | 122410/164346 | 0.000411 JUNO | 0base.vc
2022-04-05T10:06:08Z | #2577575 | A34C76464B7340B31C723EF0A20C68D2DBF6AEE1249F62E9CC026528BFA37A5B | 122479/164346 | 0.000411 JUNO | Swiss Staking
2022-04-05T10:04:58Z | #2577564 | 3B357B24E951800737735F9DD6B00B3147AEFEF838212496168DA35750C7ED5E | 122566/164427 | 0.000412 JUNO | Cosmostation
2022-04-05T10:04:02Z | #2577555 | E22299B9BF59BE8C41C7E5174460AA264D3D41D7A25343D21E6AC7E803BB2DBE | 122479/164346 | 0.000411 JUNO | SG-1
2022-04-05T10:02:05Z | #2577536 | 225739BCB1F8A4C3AB15E81DAF39B17BCAE8526DAAE54FD22E04715E925E8B61 | 122476/164346 | 0.000411 JUNO | AnalyticDynamix
2022-04-05T10:00:02Z | #2577516 | 59183D2ADB8A8AE0FE05A25AE4BAAADB3E9E2F3964A21BE98FD824DE324F8F8B | 122410/164346 | 0.000411 JUNO | Chill Validation
2022-04-05T09:57:57Z | #2577496 | BE51DDDA06F2ADCF71BFE1F640A8528DD9C82529215631DE3112B4D65D7310AA | 122512/164346 | 0.000411 JUNO | Cephalopod Equipment Corp
2022-04-05T09:55:54Z | #2577477 | 9EB37531B5E0819502290141238117073F487FB7A5A797D6316492EF2742EC79 | 122479/164346 | 0.000411 JUNO | Cosmostation
2022-04-05T09:55:04Z | #2577469 | A454303974B7F577AD437401904E5837901501286B1317ACEF45C4A1D999271A | 122536/164431 | 0.000412 JUNO | SmartNodes
2022-04-05T09:54:08Z | #2577460 | 20B565AFCCF6FB98C004621EE87B5CCD363110920E154CB974C80C30D1248B00 | 122512/164395 | 0.000411 JUNO | NosNode🔆
2022-04-05T09:52:01Z | #2577440 | E1F28B7FBE1C0B6AA34776D750C342F506E45366482E1F1DC3EBD611E77E7B81 | 122443/164395 | 0.000411 JUNO | Sentinel dVPN
2022-04-05T09:50:02Z | #2577421 | 666A6DA1A3A877BF023C81A19DBEBAF66F4BAA967891593EF5C9F2C1B8C2211D | 122512/164395 | 0.000411 JUNO | 0base.vc
2022-04-05T09:48:01Z | #2577402 | 8C0CF591D50DBCB92993DE64A9B678DBE950CE60589EDD12082441E11E6D4796 | 122509/164391 | 0.000411 JUNO | Chorus One
2022-04-05T09:45:56Z | #2577382 | 27F4C0C74A9F7339F33A308DFDF9611BD309156B3325AA03144D78B0E5FDD043 | 122479/164346 | 0.000411 JUNO | Cosmostation
2022-04-05T09:45:01Z | #2577373 | 346B48A62EDCB7CF845BFA6F905BAD5A9ED2FA50F751AEBEACDF71BED1C2836A | 122533/164427 | 0.000412 JUNO | 01node
2022-04-05T09:43:59Z | #2577363 | DBBF75885935095883505E13CC030DD134DCD65E36DE4B81585B54D4913524DD | 122479/164346 | 0.000411 JUNO | Crab Shack (ben2x4)
2022-04-05T09:42:08Z | #2577345 | D03F29D4BAA03CEDA67BDB085A0E12D75C17DA85BF0BBA30908DD0AF86B025A1 | 122479/164346 | 0.000411 JUNO | Cosmostation
2022-04-05T09:40:02Z | #2577325 | E817DF5B1BDDFB884CE7318726A01CFA2A0866C2632977F993C5C75B4BAFE370 | 122446/164346 | 0.000411 JUNO | SpacePotato
2022-04-05T09:37:58Z | #2577305 | 26AFD54F2F52BBECC68A154B6B85CAE7E4C32C03016C93E642396EF7BA4EAC7F | 122479/164346 | 0.000411 JUNO | KingSuper | Lowest Possible Commission
2022-04-05T09:35:59Z | #2577286 | 4DD293CCDAC8127B1E0C98A036B010448C70B7A1F8D5F8A57D02B39E54A3A64A | 122479/164346 | 0.000411 JUNO | Sentinel dVPN
2022-04-05T09:34:56Z | #2577276 | 9A62CABF2D28D629AFE82F32065228EA1B493782A6E4D8D99B014986ED3CD842 | 122566/164427 | 0.000412 JUNO | SG-1
2022-04-05T09:34:01Z | #2577267 | C987D665A310D2F7E4D723C136A333CAD4C1D290359A85AB9107C9C1C0FE40CE | 122479/164346 | 0.000411 JUNO | Secure Secrets
2022-04-05T09:31:57Z | #2577247 | 5D4267FDB6E56D122FD39E05DA0E45561DD1DC0248C66BC64B44B483CDA83262 | 122479/164346 | 0.000411 JUNO | Validating Chaos - ⚵🧡 NFTs to delegators
2022-04-05T09:29:57Z | #2577228 | D8C44FCAE05FEC0B3C4F837739BE2BF77CB17EEF9763B1A75342C8AA56F16435 | 122512/164346 | 0.000411 JUNO | Crab Shack (ben2x4)
2022-04-05T09:27:58Z | #2577209 | 7F0C2F468391F5591D01BD04D12DE960E712634D17A5C363E6C894AADBAA444C | 122512/164346 | 0.000411 JUNO | notional
2022-04-05T09:26:00Z | #2577190 | 238F4195D46D9FE5566D0F292C5F01067B78CCF24A6A22BDE242B0B365D02CCF | 122479/164346 | 0.000411 JUNO | dimi 🦙
2022-04-05T09:24:56Z | #2577180 | C8A84BEAAAA0FE73238D81320355FD84B36E1E807A418088BB96A18B6236274D | 122533/164427 | 0.000412 JUNO | Cephalopod Equipment Corp
2022-04-05T09:24:01Z | #2577171 | CCBB144789D9E58DC29A5563F679624B60B08E6F2B3314A56837581F31AE1E2C | 122512/164346 | 0.000411 JUNO | kingnodes
2022-04-05T09:22:01Z | #2577152 | 41EA488A36AAAA684E65C92CF9AA4F8AB54DD245C31C49590753ACF1D0A6064A | 122410/164346 | 0.000411 JUNO | Cros-nest
2022-04-05T09:19:57Z | #2577132 | 01869D2A93BAF928DD91AD4A7FE3DCC9CC86FF74335F2CF911C21003BD992805 | 122566/164427 | 0.000412 JUNO | Kleomedes
2022-04-05T09:18:00Z | #2577114 | 353A9B7CA3DEA16A7E5A50244498D4DC9CD1C087EAEE9ED0FCFA1A29E72CF9AE | 122479/164346 | 0.000411 JUNO | SG-1
2022-04-05T09:15:56Z | #2577094 | B22B0AA1703FB9BA97BAEEB7EEBABE01CA1A5E09F91A7DA029041445EF4AA121 | 122479/164346 | 0.000411 JUNO | elsehow
2022-04-05T09:15:01Z | #2577085 | 337B67693591EBD9501B852DC8E8B869F9A0350D5A54EFA05458BECA8F826786 | 122536/164431 | 0.000412 JUNO | FreshJUNO.com
2022-04-05T09:13:57Z | #2577075 | C701026D17DA760D0A9015334FBAA3C02AE3F315032ECB083D5CE0B5A57CACA6 | 122545/164395 | 0.000411 JUNO | Imperator.co
2022-04-05T09:11:57Z | #2577056 | 4EB94AABAA208B2033FB765651A37B11AF84F63E9829EDB4556302247752C3FE | 122545/164395 | 0.000411 JUNO | Chihuahua
2022-04-05T09:09:58Z | #2577037 | 3F50D714AE6EE1A8E9A385578E9CBE59DE744B977BBF78A6ABBD935696C68265 | 122545/164395 | 0.000411 JUNO | notional
2022-04-05T09:08:00Z | #2577018 | 8EA1E4701A92FF075C64DFDC67AEFC5E06CCCAAA77090C90A1FABA6A81180204 | 122512/164395 | 0.000411 JUNO | Highlander-Nodes
2022-04-05T09:06:02Z | #2576999 | 6FF165A35E91CDB98EC72434ADFEA52541EB0174F43913D7E68F7E08C8C6D8A2 | 122509/164391 | 0.000411 JUNO | PUPMØS
2022-04-05T09:05:00Z | #2576989 | 26C1453283D3CD0B3DB31CED9B57834235B31034A734DA808EE8CF7C2B5A7BBF | 122464/164427 | 0.000412 JUNO | CommunityStaking
2022-04-05T09:03:57Z | #2576979 | B7DEEFDDF7620C7FF051DD8796EE4AF4558064DF4F07D029A9AB2633A2D8B044 | 122512/164346 | 0.000411 JUNO | Cosmostation
2022-04-05T09:01:59Z | #2576960 | 520C514E419CA3FC74531B46499FDEB2101BF7AA10DEFC91281DFC86579671DC | 122479/164346 | 0.000411 JUNO | Figment
2022-04-05T09:00:00Z | #2576941 | ED602EA2983AD7439902D647E9CFF1FD213116C59A4F002E220E986A65B75138 | 122479/164346 | 0.000411 JUNO | 0base.vc
2022-04-05T08:58:01Z | #2576922 | 5C24755DEE8B14E7ABDCCB3F129FFB569F6181A1C2F8EE10C1962257C2C5E5B3 | 122410/164346 | 0.000411 JUNO | Stakecito
2022-04-05T08:55:56Z | #2576902 | 901C5A5DB39F05FB707EF20CA088D2962EFB75F207A1B2164738CCB3E1619EF8 | 122479/164346 | 0.000411 JUNO | Stakely.io
2022-04-05T08:55:00Z | #2576893 | 2F02AA0C6D58DDE02E683E22CC6CBFA0FF552D7D91EEB7AD546986DFDFB1598F | 122529/164421 | 0.000412 JUNO | PUPMØS
2022-04-05T08:53:58Z | #2576883 | AF3BC6A3BAAF757E96047B504073A139EDC9C78730AE483DA22F15E776B9D1CC | 122377/164296 | 0.000411 JUNO | SG-1
2022-04-05T08:52:00Z | #2576864 | 8A538B8188445C8921DBA3641336EF14DB65690BA4CF840FA04B75CD897C5A8B | 122446/164296 | 0.000411 JUNO | Cephalopod Equipment Corp
2022-04-05T08:50:00Z | #2576845 | 1AFB9E7B55D68531AD63A1B4CC1CD17F35CC1CEFBA2A42C07AF79FEC3D7C5969 | 122446/164296 | 0.000411 JUNO | Cosmostation
2022-04-05T08:48:01Z | #2576826 | 9937E801C387B4FBCBF9204044F387A3947E72E57ABF20BE4FB5D6578EF959D2 | 122377/164296 | 0.000411 JUNO | OmniFlix Network
2022-04-05T08:46:01Z | #2576807 | B7A3B6131D80A1FA27D7C65DD737B21BDA1BF509FA49ED26DA121E9FF3CE0F4A | 122377/164296 | 0.000411 JUNO | OmniFlix Network
2022-04-05T08:45:00Z | #2576797 | 6A74D62A164F18C3D00A8FB55DB1A91BBBAF631A51189EBB2CE5CF465869FD55 | 122525/164365 | 0.000411 JUNO | Cosmostation
2022-04-05T08:43:56Z | #2576787 | 269870CC23A8CCD8F447E9077C3A993BF0642E1BAB9943AE3AF39AD3F3F1882A | 122479/164346 | 0.000411 JUNO | OmniFlix Network
2022-04-05T08:41:57Z | #2576768 | 951A0E22AE38DFA316D2AE09E2EEE331DE1BCC489C31C42BBC6F0F8D01251DAF | 122512/164346 | 0.000411 JUNO | Frens (🤝,🤝)
2022-04-05T08:39:58Z | #2576749 | 1B0B0CDB21E22B3873B07E2014F71EC7ADE0B05EE0F2A6F9C3E49E95DD46E613 | 122512/164346 | 0.000411 JUNO | Cosmostation
2022-04-05T08:38:00Z | #2576730 | 287DD2773740C4766C47312E47FD155609FBD815ECF2C30F045ED132C62705CF | 122479/164346 | 0.000411 JUNO | Lavender.Five Nodes 🐝
2022-04-05T08:35:58Z | #2576710 | 78A55FFB204F8D7CE0E082874442FBB4F854E34AC4932EBA17FFD9F6B680154C | 122479/164346 | 0.000411 JUNO | PUPMØS
2022-04-05T08:35:01Z | #2576701 | C25199997027DF8C53152D30195580A0B2E7BB6F158C8FD38FA85FB2DDE9D312 | 122533/164427 | 0.000412 JUNO | ChainLayer
2022-04-05T08:33:58Z | #2576691 | BB913414496D24D18223ADE298E698B32878A55308BE76B4A87E8CAE94BD3088 | 122476/164341 | 0.000411 JUNO | StarCluster
2022-04-05T08:31:59Z | #2576672 | 5CBE58AE15D80AD8C6E7088AB1F1C47CDBBEC607A8C7C28445A45C4F1AF77FA1 | 122446/164296 | 0.000411 JUNO | 01node
2022-04-05T08:29:58Z | #2576653 | D42F9933F352AB28D245FC7DE542C305D8EE288CC87F7BD96B615046EF5EE300 | 122479/164296 | 0.000411 JUNO | Cephalopod Equipment Corp
2022-04-05T08:27:59Z | #2576634 | 854D9BD3C1410E14385A59A8C788AA4C98B66EE4BB22117AC1788EDE9DD91CAF | 122446/164296 | 0.000411 JUNO | 0base.vc
2022-04-05T08:25:56Z | #2576614 | 6A34A4DBBDB21DBBDEB24ABAE40C5A21B8BF190FFDA4D9AB3060A351FF9186DC | 122479/164296 | 0.000411 JUNO | Cosmostation
2022-04-05T08:24:59Z | #2576605 | C3BD0C9B4CDF1740EC6232AF56FC25D73B69CEDD7CEF3D8203A9EBBE469C32E7 | 122492/164365 | 0.000411 JUNO | PUPMØS
2022-04-05T08:23:57Z | #2576595 | 831BFB1298D777E21ECDED37C2B5004C4833D72632C1792067CE47D5E53AA019 | 122479/164346 | 0.000411 JUNO | Kleomedes
2022-04-05T08:21:57Z | #2576576 | FD71A5D885935A57C7B7A94BA7D687395D8747E770BABC7B767A71BEFF35DA22 | 122446/164346 | 0.000411 JUNO | milkstake
